sample	batch	volunteer	time
v1_7d_t1	batch1	v1	day0
v1_7d	batch1	v1	day7
v1_14d	batch1	v1	day14
v1_21d	batch1	v1	day21
v1_7d_t4	batch1	v1	day28
v2_7d_t1	batch1	v2	day0
v2_7d	batch1	v2	day7
v2_14d	batch1	v2	day14
v2_21d	batch1	v2	day21
v2_7d_t4	batch1	v2	day28
v3_7d_t1	batch1	v3	day0
v3_7d	batch1	v3	day7
v3_14d	batch1	v3	day14
v3_21d	batch1	v3	day21
v3_7d_t4	batch1	v3	day28
v4_7d_t1	batch1	v4	day0
v4_7d	batch1	v4	day7
v4_14d	batch1	v4	day14
v4_21d	batch1	v4	day21
v4_7d_t4	batch1	v4	day28
v5_bg	batch2	v5	day0
v5_7d	batch2	v5	day7
v5_14d	batch2	v5	day14
v5_21d	batch2	v5	day21
v5_28d	batch2	v5	day28
v6_bg	batch2	v6	day0
v6_7d	batch2	v6	day7
v6_14d	batch2	v6	day14
v6_21d	batch2	v6	day21
v6_28d	batch2	v6	day28
v7_bg	batch2	v7	day0
v7_7d	batch2	v7	day7
v7_14d	batch2	v7	day14
v7_21d	batch2	v7	day21
v7_28d	batch2	v7	day28
v8_bg	batch2	v8	day0
v8_7d	batch2	v8	day7
v8_14d	batch2	v8	day14
v8_21d	batch2	v8	day21
v8_28d	batch2	v8	day28
